red,green,blue,off,position,color
443,390,156,1,0,blue
443,511,248,1,1,blue
447,501,166,0,2,blue
602,646,470,0,3,blue
664,383,449,7,4,red
695,395,441,1,5,red
705,211,260,3,6,red
744,363,419,5,7,red
597,735,372,3,8,green
599,578,252,7,9,green
610,622,327,6,10,green
490,535,240,5,11,green
623,584,315,11,12,yellow
629,601,280,11,13,yellow
503,560,192,12,14,yellow
680,609,284,17,15,yellow
443,390,157,1,0,blue
443,511,248,1,1,blue
447,501,167,0,2,blue
602,646,470,0,3,blue
665,384,450,6,4,red
695,395,441,1,5,red
703,212,260,3,6,red
744,363,419,5,7,red
597,737,373,2,8,green
597,577,250,9,9,green
611,624,329,4,10,green
490,534,239,5,11,green
622,583,314,12,12,yellow
628,601,281,11,13,yellow
502,559,192,13,14,yellow
686,616,292,10,15,yellow
444,391,157,0,0,blue
441,510,247,2,1,blue
447,501,167,0,2,blue
602,646,470,0,3,blue
667,385,451,5,4,red
695,394,441,1,5,red
704,212,262,3,6,red
745,363,419,5,7,red
597,737,373,2,8,green
598,577,251,8,9,green
611,624,329,4,10,green
490,535,240,5,11,green
624,585,315,10,12,yellow
627,600,280,12,13,yellow
502,559,192,13,14,yellow
680,609,283,17,15,yellow
443,390,158,1,0,blue
443,512,248,0,1,blue
447,501,166,0,2,blue
601,646,469,1,3,blue
667,385,451,5,4,red
695,394,441,1,5,red
706,211,261,3,6,red
744,362,418,6,7,red
595,735,371,4,8,green
600,579,253,6,9,green
611,624,329,4,10,green
488,533,238,7,11,green
625,585,315,10,12,yellow
627,601,279,12,13,yellow
501,558,192,14,14,yellow
684,613,287,13,15,yellow
443,390,158,1,0,blue
443,512,249,0,1,blue
447,501,166,0,2,blue
602,646,470,0,3,blue
666,385,451,5,4,red
695,395,441,1,5,red
706,213,262,2,6,red
743,362,418,6,7,red
595,735,371,4,8,green
600,579,253,6,9,green
610,623,328,5,10,green
488,533,240,6,11,green
624,585,315,10,12,yellow
624,598,276,15,13,yellow
502,559,192,13,14,yellow
682,612,288,14,15,yellow
442,385,154,2,0,blue
445,522,256,0,1,blue
451,501,166,0,2,blue
603,643,462,0,3,blue
669,380,453,4,4,red
692,392,442,3,5,red
708,215,259,2,6,red
740,366,414,6,7,red
591,733,367,6,8,green
596,577,249,7,9,green
613,621,328,6,10,green
490,535,239,5,11,green
624,583,315,11,12,yellow
625,599,277,13,13,yellow
507,561,192,11,14,yellow
679,609,284,16,15,yellow
443,387,155,0,0,blue
444,522,255,1,1,blue
451,501,166,0,2,blue
603,642,462,0,3,blue
668,379,453,5,4,red
691,392,441,4,5,red
707,214,259,3,6,red
739,365,414,7,7,red
593,735,369,4,8,green
596,578,250,7,9,green
612,620,328,7,10,green
489,535,238,5,11,green
624,584,316,11,12,yellow
625,599,277,13,13,yellow
505,559,191,13,14,yellow
680,611,286,14,15,yellow
443,388,155,0,0,blue
445,523,256,0,1,blue
449,500,166,1,2,blue
603,642,462,0,3,blue
668,380,454,4,4,red
695,393,443,2,5,red
708,215,260,2,6,red
738,365,414,7,7,red
595,737,371,2,8,green
597,579,250,6,9,green
611,619,327,8,10,green
488,534,237,6,11,green
623,584,315,12,12,yellow
628,602,280,11,13,yellow
505,559,192,13,14,yellow
683,613,290,12,15,yellow
443,388,156,0,0,blue
445,523,256,0,1,blue
451,501,165,0,2,blue
603,643,462,0,3,blue
665,377,451,7,4,red
695,394,444,1,5,red
707,213,258,3,6,red
738,365,414,7,7,red
594,734,370,3,8,green
596,578,250,7,9,green
612,620,328,7,10,green
489,535,238,5,11,green
623,584,315,11,12,yellow
626,599,277,13,13,yellow
506,560,192,12,14,yellow
674,605,281,20,15,yellow
444,387,155,0,0,blue
444,522,256,1,1,blue
451,501,165,0,2,blue
603,643,461,0,3,blue
665,378,452,6,4,red
696,396,445,0,5,red
708,214,259,2,6,red
738,363,413,8,7,red
594,735,370,3,8,green
596,578,250,7,9,green
614,621,328,6,10,green
490,536,240,4,11,green
623,584,317,11,12,yellow
628,601,278,11,13,yellow
506,560,192,12,14,yellow
680,610,285,15,15,yellow
447,393,159,0,0,blue
446,514,251,0,1,blue
449,502,169,1,2,blue
603,645,473,0,3,blue
668,387,454,5,4,red
696,395,443,2,5,red
709,214,264,2,6,red
744,364,421,6,7,red
599,740,377,1,8,green
597,582,253,6,9,green
611,621,328,8,10,green
500,536,243,4,11,green
625,587,318,10,12,yellow
629,603,282,12,13,yellow
507,561,191,13,14,yellow
685,614,290,14,15,yellow
444,391,158,0,0,blue
443,512,249,0,1,blue
447,501,167,0,2,blue
600,644,470,0,3,blue
667,384,451,5,4,red
694,394,441,1,5,red
706,213,262,2,6,red
741,361,417,7,7,red
594,734,371,4,8,green
594,579,250,7,9,green
610,620,326,7,10,green
497,534,241,4,11,green
622,585,317,10,12,yellow
625,599,276,14,13,yellow
504,559,189,13,14,yellow
679,608,283,18,15,yellow
443,390,156,1,0,blue
440,509,246,3,1,blue
446,501,166,0,2,blue
600,644,470,0,3,blue
667,385,451,5,4,red
693,394,440,2,5,red
706,213,261,2,6,red
744,363,418,5,7,red
594,736,371,3,8,green
594,578,250,7,9,green
611,621,327,6,10,green
496,533,240,5,11,green
620,582,315,12,12,yellow
627,600,278,12,13,yellow
505,560,189,12,14,yellow
683,612,287,14,15,yellow
