red,green,blue,off,position,color
406,119,350,0,0,blue
467,228,540,2,1,blue
476,153,470,7,2,blue
624,427,681,14,3,blue
572,370,318,109,4,red
697,433,392,16,5,red
734,219,169,2,6,red
755,356,317,2,7,red
515,291,759,0,8,green
541,154,553,0,9,green
574,272,598,4,10,green
424,176,482,47,11,green
651,206,605,2,12,yellow
659,179,604,6,13,yellow
585,122,618,14,14,yellow
712,191,637,35,15,yellow
406,119,350,0,0,blue
467,228,540,2,1,blue
477,153,470,7,2,blue
625,429,682,13,3,blue
573,371,319,108,4,red
697,433,392,16,5,red
732,218,166,4,6,red
756,356,318,2,7,red
515,291,760,0,8,green
541,155,553,0,9,green
572,270,597,5,10,green
421,175,480,49,11,green
653,206,606,1,12,yellow
660,179,605,5,13,yellow
584,123,618,14,14,yellow
707,192,634,38,15,yellow
406,118,349,0,0,blue
467,228,539,2,1,blue
476,152,469,8,2,blue
625,428,680,14,3,blue
572,369,317,110,4,red
699,434,393,15,5,red
733,217,167,4,6,red
758,357,319,1,7,red
515,292,760,0,8,green
541,155,554,0,9,green
574,271,598,4,10,green
424,177,482,47,11,green
652,206,605,2,12,yellow
662,180,606,4,13,yellow
584,122,617,15,14,yellow
710,191,637,35,15,yellow
406,120,350,0,0,blue
467,227,540,2,1,blue
474,151,468,9,2,blue
624,427,680,14,3,blue
571,370,318,109,4,red
697,432,391,17,5,red
731,217,167,4,6,red
757,357,320,0,7,red
514,291,760,0,8,green
540,155,554,0,9,green
573,272,598,4,10,green
422,175,481,48,11,green
651,206,605,2,12,yellow
663,181,607,3,13,yellow
583,121,617,15,14,yellow
708,194,635,37,15,yellow
406,120,350,0,0,blue
467,228,540,2,1,blue
477,153,470,7,2,blue
625,428,681,13,3,blue
572,370,318,109,4,red
695,431,391,17,5,red
733,218,168,2,6,red
755,355,318,2,7,red
513,291,758,0,8,green
540,154,554,0,9,green
573,272,598,4,10,green
421,174,480,49,11,green
650,205,604,3,12,yellow
660,179,604,5,13,yellow
584,122,618,14,14,yellow
713,194,640,32,15,yellow
405,118,349,1,0,blue
467,228,539,2,1,blue
477,153,470,7,2,blue
624,428,680,14,3,blue
572,370,318,109,4,red
696,432,390,17,5,red
733,218,167,3,6,red
758,356,319,1,7,red
514,290,758,0,8,green
540,155,553,0,9,green
573,272,597,4,10,green
422,175,480,49,11,green
652,206,605,2,12,yellow
661,180,605,5,13,yellow
585,123,618,14,14,yellow
706,189,632,39,15,yellow
405,118,349,1,0,blue
466,227,539,3,1,blue
475,152,468,9,2,blue
625,428,680,14,3,blue
573,371,319,108,4,red
698,433,391,16,5,red
734,218,166,3,6,red
