red,green,blue,off,position,color
412,143,363,2,0,blue
471,245,542,4,1,blue
475,154,464,11,2,blue
611,418,669,25,3,blue
519,341,298,130,4,red
662,422,389,25,5,red
717,228,172,3,6,red
762,354,321,6,7,red
567,315,783,0,8,green
571,163,581,0,9,green
590,271,608,9,10,green
428,173,470,61,11,green
697,229,656,2,12,yellow
681,196,634,6,13,yellow
544,125,577,14,14,yellow
673,193,603,40,15,yellow
414,146,366,0,0,blue
469,243,540,6,1,blue
473,152,462,13,2,blue
614,421,673,23,3,blue
516,338,295,133,4,red
662,421,388,26,5,red
716,228,170,3,6,red
766,358,325,2,7,red
566,316,782,0,8,green
570,162,581,0,9,green
588,272,606,10,10,green
426,173,467,63,11,green
697,229,655,2,12,yellow
682,197,635,5,13,yellow
543,123,576,15,14,yellow
671,187,602,41,15,yellow
413,144,365,1,0,blue
471,243,542,4,1,blue
473,151,462,13,2,blue
610,417,670,25,3,blue
517,339,297,131,4,red
663,421,389,25,5,red
715,227,170,4,6,red
766,358,324,3,7,red
567,315,782,0,8,green
571,163,581,0,9,green
589,271,607,10,10,green
428,174,469,61,11,green
697,229,654,3,12,yellow
682,197,635,5,13,yellow
542,122,576,16,14,yellow
670,189,601,43,15,yellow
413,145,365,0,0,blue
471,243,541,4,1,blue
473,150,461,13,2,blue
614,419,672,23,3,blue
517,338,295,132,4,red
664,422,389,24,5,red
715,225,168,5,6,red
767,358,325,2,7,red
567,314,781,0,8,green
571,164,581,0,9,green
590,272,607,9,10,green
426,172,467,63,11,green
699,230,656,1,12,yellow
683,198,635,4,13,yellow
543,122,576,15,14,yellow
673,189,603,39,15,yellow
413,145,365,1,0,blue
473,246,543,2,1,blue
471,152,461,14,2,blue
613,421,672,23,3,blue
518,340,296,131,4,red
663,423,389,24,5,red
716,228,170,4,6,red
767,358,325,2,7,red
568,314,782,0,8,green
570,161,580,1,9,green
590,272,607,9,10,green
429,174,469,60,11,green
695,228,653,3,12,yellow
681,197,633,6,13,yellow
542,122,575,16,14,yellow
666,184,597,46,15,yellow
414,147,366,0,0,blue
472,244,542,3,1,blue
474,151,462,12,2,blue
615,421,673,22,3,blue
518,340,297,131,4,red
662,421,388,25,5,red
717,228,172,2,6,red
769,359,326,1,7,red
567,316,782,0,8,green
571,164,582,0,9,green
588,270,606,11,10,green
427,173,468,62,11,green
698,229,655,2,12,yellow
682,196,634,6,13,yellow
543,123,576,15,14,yellow
